player_name,group,match_id,team_1,team_2,pred_goal_1,pred_goal_2,Date,Time
Stefan,B,B4,CAN,ITA,5,2,16/05/2026,15:20
Susanne,B,B4,CAN,ITA,3,0,16/05/2026,15:20
Charlotte,B,B4,CAN,ITA,5,0,16/05/2026,15:20
Nina,B,B5,CZE,SLO,3,1,16/05/2026,19:20
Saoirse,B,B5,CZE,SLO,3,0,16/05/2026,19:20
Luki,B,B5,CZE,SLO,4,2,16/05/2026,19:20
Stefan,B,B5,CZE,SLO,6,1,16/05/2026,19:20
Susanne,B,B5,CZE,SLO,2,1,16/05/2026,19:20
Charlotte,B,B5,CZE,SLO,4,1,16/05/2026,19:20
Nina,B,B6,ITA,SVK,1,3,17/05/2026,11:20
Saoirse,B,B6,ITA,SVK,1,2,17/05/2026,11:20
Luki,B,B6,ITA,SVK,1,3,17/05/2026,11:20
Stefan,B,B6,ITA,SVK,2,5,17/05/2026,11:20
Susanne,B,B6,ITA,SVK,1,3,17/05/2026,11:20
Charlotte,B,B6,ITA,SVK,1,3,17/05/2026,11:20
Nina,B,B7,DEN,SWE,1,2,17/05/2026,15:20
Saoirse,B,B7,DEN,SWE,1,3,17/05/2026,15:20
Luki,B,B7,DEN,SWE,0,4,17/05/2026,15:20
Stefan,B,B7,DEN,SWE,1,5,17/05/2026,15:20
Susanne,B,B7,DEN,SWE,1,4,17/05/2026,15:20
Charlotte,B,B7,DEN,SWE,1,4,17/05/2026,15:20
Nina,B,B8,NOR,SLO,1,2,17/05/2026,19:20
Saoirse,B,B8,NOR,SLO,2,1,17/05/2026,19:20
Luki,B,B8,NOR,SLO,1,3,17/05/2026,19:20
Stefan,B,B8,NOR,SLO,5,0,17/05/2026,19:20
Susanne,B,B8,NOR,SLO,2,1,17/05/2026,19:20
Charlotte,B,B8,NOR,SLO,3,2,17/05/2026,19:20
Nina,B,B9,CAN,DEN,3,2,18/05/2026,15:20
Saoirse,B,B9,CAN,DEN,2,1,18/05/2026,15:20
Luki,B,B9,CAN,DEN,6,1,18/05/2026,15:20
Stefan,B,B9,CAN,DEN,4,1,18/05/2026,15:20
Susanne,B,B9,CAN,DEN,3,1,18/05/2026,15:20
Charlotte,B,B9,CAN,DEN,5,1,18/05/2026,15:20
Nina,B,B10,CZE,SWE,2,1,18/05/2026,19:20
Saoirse,B,B10,CZE,SWE,2,3,18/05/2026,19:20
Luki,B,B10,CZE,SWE,2,3,18/05/2026,19:20
Stefan,B,B10,CZE,SWE,3,2,18/05/2026,19:20
Susanne,B,B10,CZE,SWE,2,4,18/05/2026,19:20
Charlotte,B,B10,CZE,SWE,3,2,18/05/2026,19:20
Nina,B,B11,ITA,NOR,0,2,19/05/2026,15:20
Saoirse,B,B11,ITA,NOR,1,2,19/05/2026,15:20
Luki,B,B11,ITA,NOR,2,4,19/05/2026,15:20
Stefan,B,B11,ITA,NOR,3,4,19/05/2026,15:20
Susanne,B,B11,ITA,NOR,1,5,19/05/2026,15:20
Charlotte,B,B11,ITA,NOR,1,3,19/05/2026,15:20
Nina,B,B12,SLO,SVK,1,3,19/05/2026,19:20
Saoirse,B,B12,SLO,SVK,0,2,19/05/2026,19:20
Luki,B,B12,SLO,SVK,1,3,19/05/2026,19:20
Stefan,B,B12,SLO,SVK,1,5,19/05/2026,19:20
Susanne,B,B12,SLO,SVK,1,3,19/05/2026,19:20
Charlotte,B,B12,SLO,SVK,1,3,19/05/2026,19:20
Nina,B,B13,CZE,ITA,4,1,20/05/2026,15:20
Saoirse,B,B13,CZE,ITA,3,0,20/05/2026,15:20
Luki,B,B13,CZE,ITA,6,0,20/05/2026,15:20
Stefan,B,B13,CZE,ITA,4,0,20/05/2026,15:20
Susanne,B,B13,CZE,ITA,4,1,20/05/2026,15:20
Charlotte,B,B13,CZE,ITA,5,0,20/05/2026,15:20
Nina,B,B14,SLO,SWE,0,3,20/05/2026,19:20
Saoirse,B,B14,SLO,SWE,1,3,20/05/2026,19:20
Luki,B,B14,SLO,SWE,1,4,20/05/2026,19:20
Stefan,B,B14,SLO,SWE,0,7,20/05/2026,19:20
Susanne,B,B14,SLO,SWE,2,5,20/05/2026,19:20
Charlotte,B,B14,SLO,SWE,2,4,20/05/2026,19:20
Nina,B,B15,CAN,NOR,3,0,21/05/2026,15:20
Saoirse,B,B15,CAN,NOR,4,1,21/05/2026,15:20
Luki,B,B15,CAN,NOR,6,1,21/05/2026,15:20
Stefan,B,B15,CAN,NOR,5,2,21/05/2026,15:20
Susanne,B,B15,CAN,NOR,3,2,21/05/2026,15:20
Charlotte,B,B15,CAN,NOR,4,1,21/05/2026,15:20
Nina,B,B16,DEN,SVK,2,1,21/05/2026,19:20
Saoirse,B,B16,DEN,SVK,3,2,21/05/2026,19:20
Luki,B,B16,DEN,SVK,2,4,21/05/2026,19:20
Stefan,B,B16,DEN,SVK,2,3,21/05/2026,19:20
Susanne,B,B16,DEN,SVK,2,3,21/05/2026,19:20
Charlotte,B,B16,DEN,SVK,2,4,21/05/2026,19:20
Nina,B,B17,CAN,SLO,4,1,22/05/2026,15:20
Saoirse,B,B17,CAN,SLO,4,1,22/05/2026,15:20
Luki,B,B17,CAN,SLO,5,2,22/05/2026,15:20
Stefan,B,B17,CAN,SLO,8,1,22/05/2026,15:20
Susanne,B,B17,CAN,SLO,5,1,22/05/2026,15:20
Charlotte,B,B17,CAN,SLO,4,1,22/05/2026,15:20
Nina,B,B18,ITA,SWE,1,4,22/05/2026,19:20
Saoirse,B,B18,ITA,SWE,1,3,22/05/2026,19:20
Luki,B,B18,ITA,SWE,1,6,22/05/2026,19:20
Stefan,B,B18,ITA,SWE,1,5,22/05/2026,19:20
Susanne,B,B18,ITA,SWE,0,4,22/05/2026,19:20
Charlotte,B,B18,ITA,SWE,0,5,22/05/2026,19:20
Nina,B,B19,DEN,SLO,3,1,23/05/2026,11:20
Saoirse,B,B19,DEN,SLO,2,0,23/05/2026,11:20
Luki,B,B19,DEN,SLO,2,3,23/05/2026,11:20
Stefan,B,B19,DEN,SLO,4,0,23/05/2026,11:20
Susanne,B,B19,DEN,SLO,2,0,23/05/2026,11:20
Charlotte,B,B19,DEN,SLO,3,2,23/05/2026,11:20
Nina,B,B20,CZE,SVK,3,2,23/05/2026,15:20
Saoirse,B,B20,CZE,SVK,3,0,23/05/2026,15:20
Luki,B,B20,CZE,SVK,4,2,23/05/2026,15:20
Stefan,B,B20,CZE,SVK,5,3,23/05/2026,15:20
Susanne,B,B20,CZE,SVK,3,1,23/05/2026,15:20
Charlotte,B,B20,CZE,SVK,4,2,23/05/2026,15:20
Nina,B,B21,NOR,SWE,0,3,23/05/2026,19:20
Saoirse,B,B21,NOR,SWE,0,2,23/05/2026,19:20
Luki,B,B21,NOR,SWE,1,4,23/05/2026,19:20
Stefan,B,B21,NOR,SWE,2,5,23/05/2026,19:20
Susanne,B,B21,NOR,SWE,1,3,23/05/2026,19:20
Charlotte,B,B21,NOR,SWE,1,4,23/05/2026,19:20
Nina,B,B22,DEN,ITA,2,1,24/05/2026,15:20
Saoirse,B,B22,DEN,ITA,3,1,24/05/2026,15:20
Luki,B,B22,DEN,ITA,3,2,24/05/2026,15:20
Stefan,B,B22,DEN,ITA,3,2,24/05/2026,15:20
Susanne,B,B22,DEN,ITA,4,1,24/05/2026,15:20
Charlotte,B,B22,DEN,ITA,4,2,24/05/2026,15:20
Nina,B,B23,CAN,SVK,3,1,24/05/2026,19:20
Saoirse,B,B23,CAN,SVK,4,1,24/05/2026,19:20
Luki,B,B23,CAN,SVK,5,3,24/05/2026,19:20
Stefan,B,B23,CAN,SVK,4,2,24/05/2026,19:20
Susanne,B,B23,CAN,SVK,3,2,24/05/2026,19:20
Charlotte,B,B23,CAN,SVK,5,2,24/05/2026,19:20
Nina,B,B24,CZE,NOR,4,1,25/05/2026,15:20
Saoirse,B,B24,CZE,NOR,3,0,25/05/2026,15:20
Luki,B,B24,CZE,NOR,4,1,25/05/2026,15:20
Stefan,B,B24,CZE,NOR,4,1,25/05/2026,15:20
Susanne,B,B24,CZE,NOR,3,2,25/05/2026,15:20
Charlotte,B,B24,CZE,NOR,4,1,25/05/2026,15:20
Nina,B,B25,ITA,SLO,1,2,25/05/2026,19:20
Saoirse,B,B25,ITA,SLO,0,1,25/05/2026,19:20
Luki,B,B25,ITA,SLO,1,2,25/05/2026,19:20
Stefan,B,B25,ITA,SLO,5,2,25/05/2026,19:20
Susanne,B,B25,ITA,SLO,2,1,25/05/2026,19:20
Charlotte,B,B25,ITA,SLO,2,3,25/05/2026,19:20
Nina,B,B26,DEN,NOR,2,1,26/05/2026,11:20
Saoirse,B,B26,DEN,NOR,3,1,26/05/2026,11:20
Luki,B,B26,DEN,NOR,3,2,26/05/2026,11:20
Stefan,B,B26,DEN,NOR,3,2,26/05/2026,11:20
Susanne,B,B26,DEN,NOR,3,2,26/05/2026,11:20
Charlotte,B,B26,DEN,NOR,1,2,26/05/2026,11:20
Nina,B,B27,SVK,SWE,1,3,26/05/2026,15:20
Saoirse,B,B27,SVK,SWE,1,3,26/05/2026,15:20
Luki,B,B27,SVK,SWE,1,4,26/05/2026,15:20
Stefan,B,B27,SVK,SWE,2,4,26/05/2026,15:20
Susanne,B,B27,SVK,SWE,2,4,26/05/2026,15:20
Charlotte,B,B27,SVK,SWE,2,3,26/05/2026,15:20
Nina,B,B28,CAN,CZE,3,2,26/05/2026,19:20
Saoirse,B,B28,CAN,CZE,5,4,26/05/2026,19:20
Luki,B,B28,CAN,CZE,2,3,26/05/2026,19:20
Stefan,B,B28,CAN,CZE,3,2,26/05/2026,19:20
Susanne,B,B28,CAN,CZE,3,2,26/05/2026,19:20
Charlotte,B,B28,CAN,CZE,4,3,26/05/2026,19:20
Nina,Q,Q1,CAN,USA,5,2,28/05/2026,15:20
Saoirse,Q,Q1,CAN,USA,4,2,28/05/2026,15:20
Luki,Q,Q1,CAN,USA,5,1,28/05/2026,15:20
Stefan,Q,Q1,CAN,USA,5,3,28/05/2026,15:20
Susanne,Q,Q1,CAN,USA,4,2,28/05/2026,15:20
Charlotte,Q,Q1,CAN,USA,4,2,28/05/2026,15:20
Nina,Q,Q2,FIN,CZE,3,1,28/05/2026,15:20
Saoirse,Q,Q2,FIN,CZE,3,2,28/05/2026,15:20
Luki,Q,Q2,FIN,CZE,3,2,28/05/2026,15:20
Stefan,Q,Q2,FIN,CZE,3,2,28/05/2026,15:20
Susanne,Q,Q2,FIN,CZE,3,2,28/05/2026,15:20
Charlotte,Q,Q2,FIN,CZE,2,4,28/05/2026,15:20
Nina,Q,Q3,NOR,LAT,2,1,28/05/2026,19:20
Saoirse,Q,Q3,NOR,LAT,3,1,28/05/2026,19:20
Luki,Q,Q3,NOR,LAT,1,3,28/05/2026,19:20
Stefan,Q,Q3,NOR,LAT,3,4,28/05/2026,19:20
Susanne,Q,Q3,NOR,LAT,2,3,28/05/2026,19:20
Charlotte,Q,Q3,NOR,LAT,1,5,28/05/2026,19:20
Nina,Q,Q4,SUI,SWE,4,2,28/05/2026,19:20
Saoirse,Q,Q4,SUI,SWE,3,4,28/05/2026,19:20
Luki,Q,Q4,SUI,SWE,5,2,28/05/2026,19:20
Stefan,Q,Q4,SUI,SWE,4,2,28/05/2026,19:20
Susanne,Q,Q4,SUI,SWE,3,1,28/05/2026,19:20
Charlotte,Q,Q4,SUI,SWE,4,3,28/05/2026,19:20
Nina,S,S1,SUI,NOR,3,1,30/05/2026,15:20
Saoirse,S,S1,SUI,NOR,4,1,30/05/2026,15:20
Luki,S,S1,SUI,NOR,4,1,30/05/2026,15:20
Stefan,S,S1,SUI,NOR,3,1,30/05/2026,15:20
Susanne,S,S1,SUI,NOR,5,2,30/05/2026,15:20
Charlotte,S,S1,SUI,NOR,4,1,30/05/2026,15:20
Nina,S,S2,CAN,FIN,2,4,30/05/2026,19:20
Saoirse,S,S2,CAN,FIN,3,1,30/05/2026,19:20
Luki,S,S2,CAN,FIN,2,3,30/05/2026,19:20
Stefan,S,S2,CAN,FIN,3,5,30/05/2026,19:20
Susanne,S,S2,CAN,FIN,3,2,30/05/2026,19:20
Charlotte,S,S2,CAN,FIN,2,3,30/05/2026,19:20
Nina,F,F1,NOR,CAN,1,4,31/05/2026,15:20
Saoirse,F,F1,NOR,CAN,1,4,31/05/2026,15:20
Luki,F,F1,NOR,CAN,0,7,31/05/2026,15:20
Stefan,F,F1,NOR,CAN,1,5,31/05/2026,15:20
Susanne,F,F1,NOR,CAN,1,3,31/05/2026,15:20
Charlotte,F,F1,NOR,CAN,1,5,31/05/2026,15:20
Nina,F,F2,SUI,FIN,5,3,31/05/2026,19:20
Saoirse,F,F2,SUI,FIN,3,2,31/05/2026,19:20
Luki,F,F2,SUI,FIN,3,4,31/05/2026,19:20
Stefan,F,F2,SUI,FIN,4,3,31/05/2026,19:20
Susanne,F,F2,SUI,FIN,4,1,31/05/2026,19:20
Charlotte,F,F2,SUI,FIN,3,2,31/05/2026,19:20
